Device name,Active,Road (nl),Road (fr),Road (en),Description (nl),Description (fr),Description (en),Lane schema,Basic schema,Detailed schema,Picture 1,Picture 2,Lon (WGS 84),Lat (WGS 84),X (Lb72),Y (Lb72)
CAT17,True,Veeweidekaai 11 - 1070 Anderlecht,Quai de Veeweyde 11 - 1070 Anderlecht,Quai de Veeweyde 11 - 1070 Anderlecht,Veeweidekaai 11 - 1070 Anderlecht,Quai de Veeweyde 11 - 1070 Anderlecht,Quai de Veeweyde 11 - 1070 Anderlecht,https://data.mobility.brussels/media/bike/count/CAT17_6b8e7a01-cc38-4d06-9a4d-3d4ece53a578.png,https://data.mobility.brussels/media/bike/count/CAT17_82c4bc7e-f1d0-43cc-9be5-8678af101c57.png,https://data.mobility.brussels/media/bike/count/CAT17_9be1e6e1-4c00-4730-b747-a6b158b85a5b.png,https://data.mobility.brussels/media/bike/count/CAT17_517a19f8-a282-4477-9375-fdbb513d4242.jpg,https://data.mobility.brussels/media/bike/count/CAT17_5b8ac796-d12b-48b0-8488-f7bd06847834.jpg,4.301991995919691,50.820621002525904,145295.77384021957,167800.59543291386
CB02411,True,Vilvoordsesteenweg - 1020 Brussel,ChaussÃ©e de Vilvorde - 1020 Bruxelles,ChaussÃ©e de Vilvorde - 1020 Bruxelles,Vilvoordsesteenweg - 1020 Brussel,ChaussÃ©e de Vilvorde - 1020 Bruxelles,ChaussÃ©e de Vilvorde - 1020 Bruxelles,https://data.mobility.brussels/media/bike/count/CB02411_d048e4a0-ab43-4b42-af71-90492a9003b4.png,https://data.mobility.brussels/media/bike/count/CB02411_454e3cbe-d844-4c2c-b0dd-510f7483d47d.png,https://data.mobility.brussels/media/bike/count/CB02411_609a141d-0717-4a39-8a18-6aa2f4f0d41b.png,https://data.mobility.brussels/media/bike/count/CB02411_aa4aea5f-7f45-46c1-a4d8-3c7583cd7182.jpg,https://data.mobility.brussels/media/bike/count/CB02411_64af8dee-2353-4147-b315-367ebd79a2c8.jpg,4.373960995908418,50.88185000251615,150366.52086226034,174609.7089257436
CB1101,True,Kunstlaan 26 - 1000 Brussel,Avenue des Arts 26 - 1000 Bruxelles,Avenue des Arts 26 - 1000 Bruxelles,Kunstlaan 26 - 1000 Brussel,Avenue des Arts 26 - 1000 Bruxelles,Avenue des Arts 26 - 1000 Bruxelles,https://data.mobility.brussels/media/bike/count/CB1101_575ec0a4-a691-43b4-858c-e0a2523d4570.png,https://data.mobility.brussels/media/bike/count/CB1101_ad02e530-1b77-49e6-9d38-e83fe2a18fb0.png,https://data.mobility.brussels/media/bike/count/CB1101_0fde8e91-901f-4d3b-82ec-655154a1db64.png,https://data.mobility.brussels/media/bike/count/CB1101_fa41fd2a-aa89-46e0-8b79-f345b7fb0df9.jpg,https://data.mobility.brussels/media/bike/count/CB1101_246b9e40-810f-4c08-afd9-93a382dece20.jpg,4.36858299590588,50.84534100252618,149988.08238897286,170548.38497496303
CB1142,True,Wetstraat 130 - 1000 Brussel,Rue de la Loi 130 - 1000 Bruxelles,Rue de la Loi 130 - 1000 Bruxelles,"De aantallen zijn gemeten op het fietspad van de Wetstraat richting centrum. Fietsbewegingen in beide richtingen zijn samengeteld. De aantallen worden telkens gereset aan het begin van een uur, een dag en een jaar.","Les nombres sont comptÃ©s sur la piste cyclable de la Rue de la Loi en direction du centre. Les mouvements des cyclistes dans les deux sens sont comptÃ©s ensemble. Les nombres sont chaque fois remis Ã  zÃ©ro au dÃ©but de lâheure, de la journÃ©e et de lâannÃ©e.",Wetstraat 130 - 1000 Brussel,https://data.mobility.brussels/media/bike/count/CB1142_1575865b-d1a2-44a4-8368-a761ababe645.png,https://data.mobility.brussels/media/bike/count/CB1142_970ce501-f26f-4d25-8e45-5354e83d48c5.png,https://data.mobility.brussels/media/bike/count/CB1142_2c7377b4-2950-4e8f-83ed-09318e26cdd7.png,https://data.mobility.brussels/media/bike/count/CB1142_bab13180-fa9e-4798-84ad-4ef56e1771e2.jpg,https://data.mobility.brussels/media/-,4.378737995903186,50.843570002527876,150703.30572719825,170351.43165755924
CB1143,True,Wetstraat 145 - 1000 Brussel,Rue de la Loi 145 - 1000 Bruxelles,Rue de la Loi 145 - 1000 Bruxelles,Wetstraat 145 - 1000 Brussel,Rue de la Loi 145 - 1000 Bruxelles,Rue de la Loi 145 - 1000 Bruxelles,https://data.mobility.brussels/media/bike/count/CB1143_6219453d-0939-42e1-a89a-d9dbca049241.png,https://data.mobility.brussels/media/bike/count/CB1143_83646c6f-a2f4-4c76-b2ce-7cc4f7fbc92e.png,https://data.mobility.brussels/media/bike/count/CB1143_7cf1c823-366e-4217-892f-7e63dacdf227.png,https://data.mobility.brussels/media/bike/count/CB1143_8d3dad6e-7079-4b98-b4fa-724e55348f2f.jpg,https://data.mobility.brussels/media/-,4.378813995903146,50.84337000252792,150708.661668213,170329.18430125527
CB1599,True,Franklin Rooseveltlaan 48 - 1000 Brussel,Avenue Franklin Rooseveltlaan 48 - 1000 Bruxelles,Avenue Franklin Rooseveltlaan 48 - 1000 Bruxelles,Franklin Rooseveltlaan 48 - 1000 Brussel,Avenue Franklin Rooseveltlaan 48 - 1000 Bruxelles,Avenue Franklin Rooseveltlaan 48 - 1000 Bruxelles,https://data.mobility.brussels/media/-,https://data.mobility.brussels/media/-,https://data.mobility.brussels/media/-,https://data.mobility.brussels/media/-,https://data.mobility.brussels/media/-,4.379253995899753,50.81240800253699,150740.17032080193,166884.97076604702
CB1699,True,Franklin Rooseveltlaan 19 - 1000 Brussel,Avenue Franklin Roosevelt 19 - 1000 Bruxelles,Avenue Franklin Roosevelt 19 - 1000 Bruxelles,Franklin Rooseveltlaan 19 - 1000 Brussel,Avenue Franklin Roosevelt 19 - 1000 Bruxelles,Avenue Franklin Roosevelt 19 - 1000 Bruxelles,https://data.mobility.brussels/media/bike/count/CB1699_1c7fe9e3-164b-417d-af8b-3cc4cf6cf6dd.png,https://data.mobility.brussels/media/bike/count/CB1699_ecde80b8-558b-4a5d-b5fc-f1045c151ec5.png,https://data.mobility.brussels/media/bike/count/CB1699_e74af911-eb89-48d2-8155-ad04e70d9a81.png,https://data.mobility.brussels/media/bike/count/CB1699_9035bcd8-253a-46f3-9284-8fe6ca760f5c.jpg,https://data.mobility.brussels/media/-,4.378799995899851,50.81228000253699,150708.17572737113,166870.72735976242
CB2105,True,PoincarÃ©laan 75 - 1070 Anderlecht,Boulevard PoincarÃ© 75 - 1070 Anderlecht,Boulevard PoincarÃ© 75 - 1070 Anderlecht,PoincarÃ©laan 75 - 1070 Anderlecht,Boulevard PoincarÃ© 75 - 1070 Anderlecht,Boulevard PoincarÃ© 75 - 1070 Anderlecht,https://data.mobility.brussels/media/bike/count/CB2105_2a8aa9ff-bf28-45ba-993f-b56655057837.png,https://data.mobility.brussels/media/bike/count/CB2105_b5de25d3-ac18-4d92-bfcf-2c39535aaf02.png,https://data.mobility.brussels/media/bike/count/CB2105_3c13b20c-909f-45bc-b159-1257b8f8f6e6.png,https://data.mobility.brussels/media/bike/count/CB2105_b58c98f8-9d29-4b06-89fd-32eff6324e52.jpg,https://data.mobility.brussels/media/bike/count/CB2105_4626c552-d386-4e75-8aca-8705b8e659c0.jpg,4.340009995912418,50.84048000252439,147975.5426188648,170008.01742326748
CEE016,True,Generaal Jacqueslaan 210 - 1050 Elsene,Avenue GÃ©nÃ©ral Jacques 210 - 1050 Ixelles,Avenue GÃ©nÃ©ral Jacques 210 - 1050 Ixelles,Generaal Jacqueslaan 210 - 1050 Elsene,Avenue GÃ©nÃ©ral Jacques 210 - 1050 Ixelles,Avenue GÃ©nÃ©ral Jacques 210 - 1050 Ixelles,https://data.mobility.brussels/media/bike/count/CEE016_b88fd8d3-3dc9-447f-984f-c367c5dde2db.png,https://data.mobility.brussels/media/bike/count/CEE016_e306a288-cb1d-4ab0-9254-569f48827040.png,https://data.mobility.brussels/media/bike/count/CEE016_bcbe0531-e704-4b36-ab4f-4d5b3fa39050.png,https://data.mobility.brussels/media/-,https://data.mobility.brussels/media/-,4.386718995898861,50.82137600253522,151266.03202625556,167882.67534628976
CEK049,True,Generaal Jacqueslaan (VUB) - 1050 Elsene,Boulevard GÃ©nÃ©ral Jacques (VUB) - 1050 Ixelles,Boulevard GÃ©nÃ©ral Jacques (VUB) - 1050 Ixelles,Generaal Jacqueslaan (VUB) - 1050 Elsene,Boulevard GÃ©nÃ©ral Jacques (VUB) - 1050 Ixelles,Boulevard GÃ©nÃ©ral Jacques (VUB) - 1050 Ixelles,https://data.mobility.brussels/media/bike/count/CEK049_88f8d1cb-6353-478c-b9bc-4f94acc5af24.png,https://data.mobility.brussels/media/bike/count/CEK049_f49c9ea4-2d97-4de8-9954-17d9d2a96795.png,https://data.mobility.brussels/media/bike/count/CEK049_0cc3c9dc-437f-4634-9e02-7fe302775ae7.png,https://data.mobility.brussels/media/bike/count/CEK049_147fb09f-e7b3-4bf7-90f8-e486685b90ed.jpg,https://data.mobility.brussels/media/bike/count/CEK049_4f64b2b3-3719-4838-8541-979e70a64b27.jpg,4.393892995897416,50.82448000253513,151771.41899748406,168228.11577489227
